,year,lifeExp,gdpPercap,population,income_groups,country,continent,region
32,1832,27.88,713,3460553,low_income,Afghanistan,Asia,South Asia
30360,1832,35.7,761,1506232,upper_middle_income,Peru,Americas,America
18318,1832,39.07,1198,58732,high_income,Iceland,Europe,Europe Central Asia
27684,1832,32.4,734,149461,upper_middle_income,Namibia,Africa,Sub Saharan Africa
6499,1832,39.17,1909,1261221,high_income,Canada,Americas,America
23447,1832,33.0,941,718035,high_income,Latvia,Europe,Europe Central Asia
18764,1832,29.69,3223,21791823,high_income,Italy,Europe,Europe Central Asia
19210,1832,31.7,1080,247044,upper_middle_income,Jordan,Asia,Middle East North Africa
38165,1832,24.24,679,520732,low_income,Tajikistan,Asia,Europe Central Asia
5384,1832,32.12,1124,100223,high_income,Barbados,Americas,America
30583,1832,30.9,1100,2689547,lower_middle_income,Philippines,Asia,East Asia Pacific
16534,1832,36.1,1686,1364179,high_income,Croatia,Europe,Europe Central Asia
10513,1832,32.53,2509,1289426,high_income,Denmark,Europe,Europe Central Asia
17426,1832,23.0,1098,219337238,lower_middle_income,India,Asia,South Asia
33705,1832,25.2,598,977838,lower_middle_income,Senegal,Africa,Sub Saharan Africa
9398,1832,38.5,1116,185034,high_income,Cyprus,Europe,Europe Central Asia
43071,1832,32.6,812,1213258,lower_middle_income,Zambia,Africa,Sub Saharan Africa
25677,1832,28.7,991,143997,high_income,Malta,Europe,Europe Central Asia
19879,1832,25.5,1068,3048599,lower_middle_income,Kenya,Africa,Sub Saharan Africa
20548,1832,24.9,642,18941,lower_middle_income,Kiribati,Asia,East Asia Pacific
20994,1832,25.8,950,9454718,high_income,South Korea,Asia,East Asia Pacific
43294,1832,33.7,1022,893069,lower_middle_income,Zimbabwe,Africa,Sub Saharan Africa
40618,1832,36.6,955,12515857,lower_middle_income,Ukraine,Europe,Europe Central Asia
478,1832,35.4,779,461196,upper_middle_income,Albania,Europe,Europe Central Asia
42179,1832,24.3,693,31254,lower_middle_income,Vanuatu,Asia,East Asia Pacific
28799,1832,47.62,1619,1146595,high_income,Norway,Europe,Europe Central Asia
39950,1833,28.3,1124,2084717,high_income,Taiwan,Asia,East Asia Pacific
10514,1833,36.2,2476,1297692,high_income,Denmark,Europe,Europe Central Asia
22110,1833,33.1,1398,248585,upper_middle_income,Libya,Africa,Middle East North Africa
18319,1833,35.94,1211,58513,high_income,Iceland,Europe,Europe Central Asia
2263,1833,29.17,948,990997,upper_middle_income,Azerbaijan,Europe,Europe Central Asia
23671,1833,33.1,854,2756461,lower_middle_income,Morocco,Africa,Middle East North Africa
4493,1833,36.2,751,2652255,upper_middle_income,Belarus,Europe,Europe Central Asia
12967,1833,38.83,2387,33772885,high_income,France,Europe,Europe Central Asia
4939,1833,33.0,1184,1211362,lower_middle_income,Bolivia,Americas,America
7838,1833,31.6,628,6318651,low_income,"Congo, Dem. Rep.",Africa,Sub Saharan Africa
40842,1833,32.9,2534,80443,high_income,Uruguay,Americas,America
31922,1833,35.5,1115,210947,upper_middle_income,Paraguay,Americas,America
26124,1833,35.4,1335,155106,upper_middle_income,Montenegro,Europe,Europe Central Asia
36605,1833,42.5,1747,2948175,high_income,Sweden,Europe,Europe Central Asia
41288,1833,26.93,593,2161327,lower_middle_income,Uzbekistan,Asia,Europe Central Asia
9622,1833,34.95,2418,6108708,high_income,Czech Republic,Europe,Europe Central Asia
28354,1833,25.4,1268,228869,lower_middle_income,Nicaragua,Americas,America
479,1833,35.4,780,463271,upper_middle_income,Albania,Europe,Europe Central Asia
26347,1833,31.8,687,631385,lower_middle_income,Mongolia,Asia,East Asia Pacific
17427,1833,22.0,1098,220221111,lower_middle_income,India,Asia,South Asia
33929,1833,34.0,1193,39334,high_income,Singapore,Asia,East Asia Pacific
30584,1833,30.9,1101,2737387,lower_middle_income,Philippines,Asia,East Asia Pacific
32814,1833,29.57,1803,35322763,upper_middle_income,Russia,Europe,Europe Central Asia
43072,1833,32.6,813,1231778,lower_middle_income,Zambia,Africa,Sub Saharan Africa
11852,1833,29.5,1957,13304164,high_income,Spain,Europe,Europe Central Asia
28131,1833,30.4,1020,12704609,lower_middle_income,Nigeria,Africa,Sub Saharan Africa
36828,1833,32.3,592,72333,lower_middle_income,Eswatini,Africa,Sub Saharan Africa
22333,1833,28.01,1036,24000,upper_middle_income,St. Lucia,Americas,America
3378,1833,25.5,992,21133293,lower_middle_income,Bangladesh,Asia,South Asia
28577,1833,39.86,3884,2706706,high_income,Netherlands,Europe,Europe Central Asia
29469,1833,34.05,1353,89967,high_income,New Zealand,Asia,East Asia Pacific
15197,1833,36.6,1787,2604797,high_income,Greece,Europe,Europe Central Asia
8953,1833,30.21,1018,82519,upper_middle_income,Costa Rica,Americas,America
31253,1833,35.9,1069,11472700,high_income,Poland,Europe,Europe Central Asia
22779,1833,32.8,405,228377,lower_middle_income,Lesotho,Africa,Sub Saharan Africa
34375,1833,25.1,888,787489,low_income,Sierra Leone,Africa,Sub Saharan Africa
33037,1833,31.8,508,1148151,low_income,Rwanda,Africa,Sub Saharan Africa
39058,1833,32.9,1499,67972,high_income,Trinidad and Tobago,Americas,America
19211,1833,31.7,1085,249726,upper_middle_income,Jordan,Asia,Middle East North Africa
21218,1833,26.0,1405,81280,high_income,Kuwait,Asia,Middle East North Africa
33706,1833,25.2,601,975213,lower_middle_income,Senegal,Africa,Sub Saharan Africa
1594,1833,33.54,937,37000,high_income,Antigua and Barbuda,Americas,America
6946,1833,32.0,1117,1025767,high_income,Chile,Americas,America
14082,1833,28.0,808,2000798,lower_middle_income,Ghana,Africa,Sub Saharan Africa
17204,1833,30.0,976,18924059,lower_middle_income,Indonesia,Asia,East Asia Pacific
38612,1833,28.95,629,162864,lower_middle_income,Timor-Leste,Asia,East Asia Pacific
3601,1833,37.25,1318,2317556,upper_middle_income,Bulgaria,Europe,Europe Central Asia
25232,1833,36.1,872,439194,upper_middle_income,North Macedonia,Europe,Europe Central Asia
41957,1833,32.0,966,6306333,lower_middle_income,Vietnam,Asia,East Asia Pacific
11406,1833,33.0,1178,4375252,lower_middle_income,Egypt,Africa,Middle East North Africa
19657,1833,26.2,1437,2298860,upper_middle_income,Kazakhstan,Asia,Europe Central Asia
35713,1833,31.0,1023,24919,lower_middle_income,Sao Tome and Principe,Africa,Sub Saharan Africa
38835,1833,28.2,786,18528,upper_middle_income,Tonga,Asia,East Asia Pacific
40173,1833,32.2,661,3907193,low_income,Tanzania,Africa,Sub Saharan Africa
10068,1833,29.9,945,29264,lower_middle_income,Djibouti,Africa,Middle East North Africa
30138,1833,32.9,1114,96021,high_income,Panama,Americas,America
14974,1833,29.8,420,91488,upper_middle_income,Equatorial Guinea,Africa,Sub Saharan Africa
6723,1833,38.0,2815,2135368,high_income,Switzerland,Europe,Europe Central Asia
35490,1833,26.67,614,1118059,low_income,South Sudan,Africa,Sub Saharan Africa
4716,1833,26.5,718,25679,upper_middle_income,Belize,Americas,America
16981,1833,36.0,1569,4558946,high_income,Hungary,Europe,Europe Central Asia
24117,1833,33.15,756,802472,lower_middle_income,Moldova,Europe,Europe Central Asia
38389,1833,24.0,1189,413552,upper_middle_income,Turkmenistan,Asia,Europe Central Asia
20103,1833,23.94,646,597264,lower_middle_income,Kyrgyz Republic,Asia,Europe Central Asia
24563,1833,32.65,955,45752,upper_middle_income,Maldives,Asia,South Asia
3155,1833,29.2,552,1743740,low_income,Burkina Faso,Africa,Sub Saharan Africa
26793,1833,32.0,637,338605,lower_middle_income,Mauritania,Africa,Sub Saharan Africa
23448,1833,33.0,946,729807,high_income,Latvia,Europe,Europe Central Asia
17873,1833,25.6,1043,6952069,upper_middle_income,Iran,Asia,Middle East North Africa
13636,1833,41.35,4184,24895561,high_income,United Kingdom,Europe,Europe Central Asia
23002,1833,28.9,1601,942473,high_income,Lithuania,Europe,Europe Central Asia
40396,1833,25.3,560,2438145,low_income,Uganda,Africa,Sub Saharan Africa
33260,1833,32.1,936,2152602,high_income,Saudi Arabia,Asia,Middle East North Africa
15866,1833,31.12,1505,117942,upper_middle_income,Guyana,Americas,America
39504,1833,35.0,1186,10495329,upper_middle_income,Turkey,Europe,Europe Central Asia
11183,1833,32.9,652,618393,upper_middle_income,Ecuador,Americas,America
29692,1833,32.3,1097,330075,high_income,Oman,Asia,Middle East North Africa
7615,1833,28.75,757,2209947,lower_middle_income,Cameroon,Africa,Sub Saharan Africa
21664,1833,29.7,1374,364622,upper_middle_income,Lebanon,Asia,Middle East North Africa
17650,1833,38.3,1952,7980409,high_income,Ireland,Europe,Europe Central Asia
7392,1833,31.16,678,1064483,lower_middle_income,Cote d'Ivoire,Africa,Sub Saharan Africa
41511,1833,25.99,1038,27532,upper_middle_income,St. Vincent and the Grenadines,Americas,America
6277,1833,30.0,513,639457,low_income,Central African Republic,Africa,Sub Saharan Africa
13190,1833,26.7,599,17478,lower_middle_income,"Micronesia, Fed. Sts.",Asia,East Asia Pacific
24786,1833,26.9,1194,6574426,upper_middle_income,Mexico,Americas,America
34598,1833,28.7,1192,293610,lower_middle_income,El Salvador,Americas,America
5608,1833,29.2,1794,2970,high_income,Brunei,Asia,East Asia Pacific
37943,1833,30.4,1074,4901996,upper_middle_income,Thailand,Asia,East Asia Pacific
2932,1833,31.0,721,699483,low_income,Benin,Africa,Sub Saharan Africa
31476,1833,26.0,278,4387566,low_income,North Korea,Asia,East Asia Pacific
5162,1833,31.99,1008,5534032,upper_middle_income,Brazil,Americas,America
13413,1833,30.6,444,208081,upper_middle_income,Gabon,Africa,Sub Saharan Africa
27462,1833,30.6,1145,374542,upper_middle_income,Malaysia,Asia,East Asia Pacific
14751,1833,32.0,650,214815,low_income,Guinea-Bissau,Africa,Sub Saharan Africa
12744,1833,26.1,932,138295,upper_middle_income,Fiji,Asia,East Asia Pacific
8507,1833,32.1,815,57902,lower_middle_income,Comoros,Africa,Sub Saharan Africa
41065,1833,39.41,4022,14392986,high_income,United States,Americas,America
10960,1833,28.82,909,2752781,upper_middle_income,Algeria,Africa,Middle East North Africa
34152,1833,25.1,431,65556,lower_middle_income,Solomon Islands,Asia,East Asia Pacific
11629,1833,30.2,625,349775,low_income,Eritrea,Africa,Sub Saharan Africa
37274,1833,31.1,1348,1396805,low_income,Syria,Asia,Middle East North Africa
24340,1833,30.5,693,2043032,low_income,Madagascar,Africa,Sub Saharan Africa
12075,1833,37.38,1182,390722,high_income,Estonia,Europe,Europe Central Asia
30361,1833,35.7,795,1575456,upper_middle_income,Peru,Americas,America
31699,1833,35.6,1652,3553705,high_income,Portugal,Europe,Europe Central Asia
27685,1833,32.4,745,147481,upper_middle_income,Namibia,Africa,Sub Saharan Africa
16535,1833,36.1,1700,1376189,high_income,Croatia,Europe,Europe Central Asia
38166,1833,24.24,683,525510,low_income,Tajikistan,Asia,Europe Central Asia
5385,1833,32.12,1132,101939,high_income,Barbados,Americas,America
3824,1833,30.3,1611,64474,high_income,Bahrain,Asia,Middle East North Africa
18765,1833,29.69,3241,21932135,high_income,Italy,Europe,Europe Central Asia
6054,1833,33.6,480,106730,upper_middle_income,Botswana,Africa,Sub Saharan Africa
19434,1833,36.41,1598,31429471,high_income,Japan,Asia,East Asia Pacific
36159,1833,36.4,1801,2246198,high_income,Slovak Republic,Europe,Europe Central Asia
20326,1833,35.0,445,2152319,lower_middle_income,Cambodia,Asia,East Asia Pacific
27016,1833,35.22,1137,99162,upper_middle_income,Mauritius,Africa,Sub Saharan Africa
40619,1833,36.6,962,12630710,lower_middle_income,Ukraine,Europe,Europe Central Asia
35267,1833,35.5,1714,2091528,upper_middle_income,Serbia,Europe,Europe Central Asia
12298,1833,29.7,595,14505567,low_income,Ethiopia,Africa,Sub Saharan Africa
4047,1833,35.18,1791,27630,high_income,Bahamas,Americas,America
37497,1833,30.9,506,1657735,low_income,Chad,Africa,Sub Saharan Africa
16312,1833,33.9,905,204200,lower_middle_income,Honduras,Americas,America
18096,1833,31.2,1043,1158478,upper_middle_income,Iraq,Asia,Middle East North Africa
1371,1833,34.0,614,465481,upper_middle_income,Armenia,Europe,Europe Central Asia
256,1833,26.98,771,1895181,lower_middle_income,Angola,Africa,Sub Saharan Africa
15643,1833,25.81,1082,665022,upper_middle_income,Guatemala,Americas,America
32591,1833,35.7,269,7043287,upper_middle_income,Romania,Europe,Europe Central Asia
35936,1833,32.9,2028,82643,upper_middle_income,Suriname,Americas,America
19880,1833,25.5,1071,3064761,lower_middle_income,Kenya,Africa,Sub Saharan Africa
23225,1833,36.9,1923,172946,high_income,Luxembourg,Europe,Europe Central Asia
43295,1833,33.7,1023,878624,lower_middle_income,Zimbabwe,Africa,Sub Saharan Africa
42180,1833,24.3,695,31561,lower_middle_income,Vanuatu,Asia,East Asia Pacific
8284,1833,32.0,954,1756641,upper_middle_income,Colombia,Americas,America
21887,1833,31.1,937,320601,low_income,Liberia,Africa,Sub Saharan Africa
28800,1833,44.86,1753,1158005,high_income,Norway,Europe,Europe Central Asia
25678,1833,28.7,1000,144856,high_income,Malta,Europe,Europe Central Asia
14305,1833,29.84,525,1003094,low_income,Guinea,Africa,Sub Saharan Africa
32368,1833,30.8,1405,14092,high_income,Qatar,Asia,Middle East North Africa
20995,1833,25.8,950,9459711,high_income,South Korea,Asia,East Asia Pacific
1148,1833,33.2,2040,671785,upper_middle_income,Argentina,Americas,America
9176,1833,36.16,919,1008000,upper_middle_income,Cuba,Americas,America
10737,1833,29.9,813,110321,upper_middle_income,Dominican Republic,Americas,America
14528,1833,28.8,938,106997,low_income,Gambia,Africa,Sub Saharan Africa
15420,1833,31.4,1150,30915,upper_middle_income,Grenada,Americas,America
37051,1833,37.0,1021,13105,high_income,Seychelles,Africa,Sub Saharan Africa
33,1833,27.87,715,3476034,low_income,Afghanistan,Asia,South Asia
29023,1833,32.8,745,4078554,low_income,Nepal,Asia,South Asia
29915,1833,25.8,1156,14247248,lower_middle_income,Pakistan,Asia,South Asia
4270,1833,35.1,811,922641,upper_middle_income,Bosnia and Herzegovina,Europe,Europe Central Asia
33483,1833,31.4,626,4346694,lower_middle_income,Sudan,Africa,Sub Saharan Africa
39281,1833,28.8,881,971068,lower_middle_income,Tunisia,Africa,Middle East North Africa
27239,1833,30.3,398,1496637,low_income,Malawi,Africa,Sub Saharan Africa
8061,1833,32.7,714,387092,lower_middle_income,"Congo, Rep.",Africa,Sub Saharan Africa
2040,1833,34.4,2655,3590572,high_income,Austria,Europe,Europe Central Asia
20549,1833,24.9,642,19032,lower_middle_income,Kiribati,Asia,East Asia Pacific
925,1833,30.7,1278,40153,high_income,United Arab Emirates,Asia,Middle East North Africa
6500,1833,39.3,1938,1309115,high_income,Canada,Americas,America
35044,1833,29.4,811,1183900,low_income,Somalia,Africa,Sub Saharan Africa
18542,1833,32.0,2901,209954,high_income,Israel,Asia,Middle East North Africa
36382,1833,36.6,1778,526390,high_income,Slovenia,Europe,Europe Central Asia
21441,1833,31.9,1012,531689,lower_middle_income,Lao,Asia,East Asia Pacific
26570,1833,30.28,451,2990700,low_income,Mozambique,Africa,Sub Saharan Africa
9845,1833,38.37,2145,28938965,high_income,Germany,Europe,Europe Central Asia
25455,1833,26.41,687,1445535,low_income,Mali,Africa,Sub Saharan Africa
2709,1833,40.27,2933,3846368,high_income,Belgium,Europe,Europe Central Asia
37720,1833,31.3,825,471306,low_income,Togo,Africa,Sub Saharan Africa
22556,1833,32.6,1030,1575899,upper_middle_income,Sri Lanka,Asia,South Asia
25901,1833,30.8,933,3684673,lower_middle_income,Myanmar,Asia,East Asia Pacific
9399,1833,38.5,1130,185054,high_income,Cyprus,Europe,Europe Central Asia
16089,1833,34.9,1352,24974,high_income,"Hong Kong, China",Asia,East Asia Pacific
42403,1833,25.4,1662,47035,upper_middle_income,Samoa,Asia,East Asia Pacific
5831,1833,28.8,734,367580,lower_middle_income,Bhutan,Asia,South Asia
42626,1833,23.39,1090,2655083,low_income,Yemen,Asia,Middle East North Africa
12521,1833,20.38,1626,1386699,high_income,Finland,Europe,Europe Central Asia
2486,1833,31.5,488,1092908,low_income,Burundi,Africa,Sub Saharan Africa
7169,1833,32.0,984,409897918,upper_middle_income,China,Asia,East Asia Pacific
32145,1833,32.1,768,165944,lower_middle_income,Palestine,Asia,Middle East North Africa
16758,1833,29.0,821,809405,low_income,Haiti,Americas,America
42849,1833,33.5,1426,2066766,upper_middle_income,South Africa,Africa,Sub Saharan Africa
13859,1833,31.87,655,1207470,upper_middle_income,Georgia,Europe,Europe Central Asia
27908,1833,30.8,539,913368,low_income,Niger,Africa,Sub Saharan Africa
41734,1833,32.2,2526,976757,upper_middle_income,Venezuela,Americas,America
8730,1833,33.8,635,63914,lower_middle_income,Cape Verde,Africa,Sub Saharan Africa
1817,1833,34.05,1668,354966,high_income,Australia,Asia,East Asia Pacific
31030,1833,31.5,649,758610,lower_middle_income,Papua New Guinea,Asia,East Asia Pacific
18988,1833,34.2,1163,385236,upper_middle_income,Jamaica,Americas,America
25456,1834,26.41,687,1448827,low_income,Mali,Africa,Sub Saharan Africa
36606,1834,38.53,1769,2972567,high_income,Sweden,Europe,Europe Central Asia
12076,1834,38.04,1190,395449,high_income,Estonia,Europe,Europe Central Asia
37721,1834,31.3,829,473311,low_income,Togo,Africa,Sub Saharan Africa
39951,1834,28.3,1124,2091351,high_income,Taiwan,Asia,East Asia Pacific
12522,1834,38.9,1634,1394336,high_income,Finland,Europe,Europe Central Asia
30139,1834,32.9,1126,96720,high_income,Panama,Americas,America
24341,1834,30.5,696,2073691,low_income,Madagascar,Africa,Sub Saharan Africa
27240,1834,30.3,398,1529090,low_income,Malawi,Africa,Sub Saharan Africa
10069,1834,29.9,948,29826,lower_middle_income,Djibouti,Africa,Middle East North Africa
14975,1834,29.8,421,92403,upper_middle_income,Equatorial Guinea,Africa,Sub Saharan Africa
37944,1834,30.4,1076,4920712,upper_middle_income,Thailand,Asia,East Asia Pacific
12299,1834,29.7,597,14711513,low_income,Ethiopia,Africa,Sub Saharan Africa
9400,1834,38.5,1143,185074,high_income,Cyprus,Europe,Europe Central Asia
21888,1834,31.1,940,321151,low_income,Liberia,Africa,Sub Saharan Africa
10515,1834,36.53,2589,1306011,high_income,Denmark,Europe,Europe Central Asia
23449,1834,33.0,953,741771,high_income,Latvia,Europe,Europe Central Asia
2933,1834,31.0,725,704570,low_income,Benin,Africa,Sub Saharan Africa
1818,1834,34.05,1753,363631,high_income,Australia,Asia,East Asia Pacific
31700,1834,35.6,1704,3574815,high_income,Portugal,Europe,Europe Central Asia
13637,1834,40.78,4230,25152100,high_income,United Kingdom,Europe,Europe Central Asia
9846,1834,38.37,2172,29242182,high_income,Germany,Europe,Europe Central Asia
20550,1834,24.9,643,19124,lower_middle_income,Kiribati,Asia,East Asia Pacific
40620,1834,36.6,968,12746617,lower_middle_income,Ukraine,Europe,Europe Central Asia
36160,1834,36.4,1816,2254527,high_income,Slovak Republic,Europe,Europe Central Asia
35045,1834,29.4,811,1199358,low_income,Somalia,Africa,Sub Saharan Africa
41289,1834,26.93,595,2181161,lower_middle_income,Uzbekistan,Asia,Europe Central Asia
6055,1834,33.6,482,106325,upper_middle_income,Botswana,Africa,Sub Saharan Africa
12968,1834,35.01,2390,33931751,high_income,France,Europe,Europe Central Asia
32592,1834,35.7,273,7096278,upper_middle_income,Romania,Europe,Europe Central Asia
38836,1834,28.2,789,18524,upper_middle_income,Tonga,Asia,East Asia Pacific
6724,1834,38.0,2817,2147268,high_income,Switzerland,Europe,Europe Central Asia
23226,1834,36.9,1946,173937,high_income,Luxembourg,Europe,Europe Central Asia
4494,1834,36.2,754,2676594,upper_middle_income,Belarus,Europe,Europe Central Asia
7839,1834,31.6,632,6417396,low_income,"Congo, Dem. Rep.",Africa,Sub Saharan Africa
24564,1834,32.65,955,46022,upper_middle_income,Maldives,Asia,South Asia
26125,1834,35.4,1346,157547,upper_middle_income,Montenegro,Europe,Europe Central Asia
5609,1834,29.2,1800,3031,high_income,Brunei,Asia,East Asia Pacific
27017,1834,32.67,1142,101290,upper_middle_income,Mauritius,Africa,Sub Saharan Africa
21219,1834,26.0,1411,81280,high_income,Kuwait,Asia,Middle East North Africa
2487,1834,31.5,488,1109424,low_income,Burundi,Africa,Sub Saharan Africa
35714,1834,31.0,1026,25095,lower_middle_income,Sao Tome and Principe,Africa,Sub Saharan Africa
8285,1834,32.0,952,1780729,upper_middle_income,Colombia,Americas,America
33707,1834,25.2,603,972595,lower_middle_income,Senegal,Africa,Sub Saharan Africa
41735,1834,32.2,2552,1008311,upper_middle_income,Venezuela,Americas,America
18320,1834,24.01,1225,58295,high_income,Iceland,Europe,Europe Central Asia
18989,1834,34.2,1154,384049,upper_middle_income,Jamaica,Americas,America
29024,1834,32.8,745,4094156,low_income,Nepal,Asia,South Asia
21665,1834,29.7,1384,367259,upper_middle_income,Lebanon,Asia,Middle East North Africa
2264,1834,29.17,952,1000091,upper_middle_income,Azerbaijan,Europe,Europe Central Asia
19212,1834,31.7,1091,252437,upper_middle_income,Jordan,Asia,Middle East North Africa
1595,1834,33.54,944,37000,high_income,Antigua and Barbuda,Americas,America
39505,1834,35.0,1190,10528452,upper_middle_income,Turkey,Europe,Europe Central Asia
23003,1834,28.9,1612,956403,high_income,Lithuania,Europe,Europe Central Asia
29916,1834,25.8,1156,14294165,lower_middle_income,Pakistan,Asia,South Asia
15867,1834,31.12,1515,114873,upper_middle_income,Guyana,Americas,America
33261,1834,32.1,937,2157414,high_income,Saudi Arabia,Asia,Middle East North Africa
6947,1834,32.0,1143,1046657,high_income,Chile,Americas,America
14083,1834,28.0,809,1999631,lower_middle_income,Ghana,Africa,Sub Saharan Africa
41066,1834,39.41,3830,14795346,high_income,United States,Americas,America
13191,1834,26.7,599,17562,lower_middle_income,"Micronesia, Fed. Sts.",Asia,East Asia Pacific
17205,1834,30.0,1008,19081265,lower_middle_income,Indonesia,Asia,East Asia Pacific
34153,1834,25.1,432,66264,lower_middle_income,Solomon Islands,Asia,East Asia Pacific
34,1834,27.86,718,3491585,low_income,Afghanistan,Asia,South Asia
16090,1834,34.9,1355,25394,high_income,"Hong Kong, China",Asia,East Asia Pacific
22557,1834,32.6,1031,1607898,upper_middle_income,Sri Lanka,Asia,South Asia
5832,1834,28.8,735,365745,lower_middle_income,Bhutan,Asia,South Asia
31923,1834,35.5,1130,217336,upper_middle_income,Paraguay,Americas,America
39059,1834,32.9,1507,68627,high_income,Trinidad and Tobago,Americas,America
35937,1834,32.9,2041,82793,upper_middle_income,Suriname,Americas,America
28355,1834,25.4,1281,232545,lower_middle_income,Nicaragua,Americas,America
3602,1834,37.3,1325,2327913,upper_middle_income,Bulgaria,Europe,Europe Central Asia
41958,1834,32.0,965,6287891,lower_middle_income,Vietnam,Asia,East Asia Pacific
19658,1834,26.2,1447,2319956,upper_middle_income,Kazakhstan,Asia,Europe Central Asia
10961,1834,28.82,918,2757748,upper_middle_income,Algeria,Africa,Middle East North Africa
16313,1834,33.9,916,210789,lower_middle_income,Honduras,Americas,America
17874,1834,25.6,1044,6983170,upper_middle_income,Iran,Asia,Middle East North Africa
27463,1834,30.6,1147,382279,upper_middle_income,Malaysia,Asia,East Asia Pacific
20996,1834,25.8,950,9464707,high_income,South Korea,Asia,East Asia Pacific
32369,1834,30.8,1411,14092,high_income,Qatar,Asia,Middle East North Africa
37498,1834,30.9,508,1665104,low_income,Chad,Africa,Sub Saharan Africa
4048,1834,35.18,1803,27651,high_income,Bahamas,Americas,America
11407,1834,33.0,1183,4389511,lower_middle_income,Egypt,Africa,Middle East North Africa
7393,1834,31.16,678,1062655,lower_middle_income,Cote d'Ivoire,Africa,Sub Saharan Africa
14529,1834,28.8,940,107289,low_income,Gambia,Africa,Sub Saharan Africa
8508,1834,32.1,815,58023,lower_middle_income,Comoros,Africa,Sub Saharan Africa
40174,1834,32.2,662,3985279,low_income,Tanzania,Africa,Sub Saharan Africa
34376,1834,25.1,892,786971,low_income,Sierra Leone,Africa,Sub Saharan Africa
9623,1834,34.95,2437,6146481,high_income,Czech Republic,Europe,Europe Central Asia
6278,1834,30.0,515,653756,low_income,Central African Republic,Africa,Sub Saharan Africa
41512,1834,25.99,1046,27671,upper_middle_income,St. Vincent and the Grenadines,Americas,America
3156,1834,29.2,554,1749913,low_income,Burkina Faso,Africa,Sub Saharan Africa
26794,1834,32.0,641,335430,lower_middle_income,Mauritania,Africa,Sub Saharan Africa
17651,1834,38.3,1980,8032100,high_income,Ireland,Europe,Europe Central Asia
8954,1834,30.21,1029,84073,upper_middle_income,Costa Rica,Americas,America
8731,1834,33.8,637,64592,lower_middle_income,Cape Verde,Africa,Sub Saharan Africa
24118,1834,33.15,761,809836,lower_middle_income,Moldova,Europe,Europe Central Asia
31254,1834,35.9,1073,11557392,high_income,Poland,Europe,Europe Central Asia
8062,1834,32.7,717,393321,lower_middle_income,"Congo, Rep.",Africa,Sub Saharan Africa
40397,1834,25.3,564,2466156,low_income,Uganda,Africa,Sub Saharan Africa
15198,1834,36.6,1901,2628759,high_income,Greece,Europe,Europe Central Asia
15421,1834,31.4,1155,31034,upper_middle_income,Grenada,Americas,America
10738,1834,29.9,817,112156,upper_middle_income,Dominican Republic,Americas,America
9177,1834,36.3,919,1008000,upper_middle_income,Cuba,Americas,America
38613,1834,28.95,631,165018,lower_middle_income,Timor-Leste,Asia,East Asia Pacific
29470,1834,34.05,1390,86814,high_income,New Zealand,Asia,East Asia Pacific
13860,1834,31.87,659,1218551,upper_middle_income,Georgia,Europe,Europe Central Asia
2041,1834,34.4,2676,3608240,high_income,Austria,Europe,Europe Central Asia
7616,1834,28.75,761,2239413,lower_middle_income,Cameroon,Africa,Sub Saharan Africa
12745,1834,26.1,935,138538,upper_middle_income,Fiji,Asia,East Asia Pacific
11184,1834,32.9,657,628572,upper_middle_income,Ecuador,Americas,America
4271,1834,35.1,815,928325,upper_middle_income,Bosnia and Herzegovina,Europe,Europe Central Asia
13414,1834,30.6,444,212504,upper_middle_income,Gabon,Africa,Sub Saharan Africa
42850,1834,33.5,1417,2112941,upper_middle_income,South Africa,Africa,Sub Saharan Africa
16982,1834,36.0,1580,4592346,high_income,Hungary,Europe,Europe Central Asia
33038,1834,31.8,509,1167048,low_income,Rwanda,Africa,Sub Saharan Africa
27909,1834,30.8,542,918171,low_income,Niger,Africa,Sub Saharan Africa
31031,1834,31.5,651,758897,lower_middle_income,Papua New Guinea,Asia,East Asia Pacific
16759,1834,29.0,829,816459,low_income,Haiti,Americas,America
33930,1834,34.0,1195,40161,high_income,Singapore,Asia,East Asia Pacific
32146,1834,32.1,768,165944,lower_middle_income,Palestine,Asia,Middle East North Africa
32815,1834,29.57,1815,35648958,upper_middle_income,Russia,Europe,Europe Central Asia
7170,1834,32.0,985,410197589,upper_middle_income,China,Asia,East Asia Pacific
42627,1834,23.39,1092,2659919,low_income,Yemen,Asia,Middle East North Africa
14306,1834,29.85,526,1004581,low_income,Guinea,Africa,Sub Saharan Africa
35491,1834,26.67,616,1123040,low_income,South Sudan,Africa,Sub Saharan Africa
28132,1834,30.4,1022,12752266,lower_middle_income,Nigeria,Africa,Sub Saharan Africa
24787,1834,26.9,1196,6639634,upper_middle_income,Mexico,Americas,America
39282,1834,28.8,887,978876,lower_middle_income,Tunisia,Africa,Middle East North Africa
34599,1834,28.7,1199,297444,lower_middle_income,El Salvador,Americas,America
33484,1834,31.4,629,4366061,lower_middle_income,Sudan,Africa,Sub Saharan Africa
28578,1834,39.86,3917,2731653,high_income,Netherlands,Europe,Europe Central Asia
38390,1834,24.0,1197,417347,upper_middle_income,Turkmenistan,Asia,Europe Central Asia
5163,1834,31.99,1008,5622007,upper_middle_income,Brazil,Americas,America
22780,1834,32.8,406,225048,lower_middle_income,Lesotho,Africa,Sub Saharan Africa
