Acceleration,Cylinders,Displacement,Horsepower,Miles_per_Gallon,Name,Origin,Weight_in_lbs,Year
19.6,6,145.0,76,30.7,volvo diesel,Europe,3160,1982-01-01
12.6,6,168.0,116,25.4,toyota cressida,Japan,2900,1982-01-01
13.8,6,146.0,120,24.2,datsun 810 maxima,Japan,2930,1982-01-01
15.8,6,231.0,110,22.4,buick century,USA,3415,1982-01-01
19.0,8,350.0,105,26.6,oldsmobile cutlass ls,USA,3725,1982-01-01
17.1,6,200.0,88,20.2,ford granada gl,USA,3060,1982-01-01
16.6,6,225.0,85,17.6,chrysler lebaron salon,USA,3465,1982-01-01
19.6,4,112.0,88,28.0,chevrolet cavalier,USA,2605,1982-01-01
18.6,4,112.0,88,27.0,chevrolet cavalier wagon,USA,2640,1982-01-01
18.0,4,112.0,88,34.0,chevrolet cavalier 2-door,USA,2395,1982-01-01
16.2,4,112.0,85,31.0,pontiac j2000 se hatchback,USA,2575,1982-01-01
16.0,4,135.0,84,29.0,dodge aries se,USA,2525,1982-01-01
18.0,4,151.0,90,27.0,pontiac phoenix,USA,2735,1982-01-01
16.4,4,140.0,92,24.0,ford fairmont futura,USA,2865,1982-01-01
20.5,4,151.0,,23.0,amc concord dl,USA,3035,1982-01-01
15.3,4,105.0,74,36.0,vw rabbit l,Europe,1980,1982-01-01
18.2,4,91.0,68,37.0,mazda glc custom l,Japan,2025,1982-01-01
17.6,4,91.0,68,31.0,mazda glc custom,Japan,1970,1982-01-01
14.7,4,105.0,63,38.0,plymouth horizon miser,USA,2125,1982-01-01
17.3,4,98.0,70,36.0,mercury lynx l,USA,2125,1982-01-01
14.5,4,120.0,88,36.0,nissan stanza xe,Japan,2160,1982-01-01
14.5,4,107.0,75,36.0,honda Accelerationord,Japan,2205,1982-01-01
16.9,4,108.0,70,34.0,toyota corolla,Japan,2245,1982-01-01
15.0,4,91.0,67,38.0,honda civic,Japan,1965,1982-01-01
15.7,4,91.0,67,32.0,honda civic (auto),Japan,1965,1982-01-01
16.2,4,91.0,67,38.0,datsun 310 gx,Japan,1995,1982-01-01
16.4,6,181.0,110,25.0,buick century limited,USA,2945,1982-01-01
17.0,6,262.0,85,38.0,oldsmobile cutlass ciera (diesel),USA,3015,1982-01-01
14.5,4,156.0,92,26.0,chrysler lebaron medallion,USA,2585,1982-01-01
14.7,6,232.0,112,22.0,ford granada l,USA,2835,1982-01-01
13.9,4,144.0,96,32.0,toyota celica gt,Japan,2665,1982-01-01
13.0,4,135.0,84,36.0,dodge charger 2.2,USA,2370,1982-01-01
17.3,4,151.0,90,27.0,chevrolet camaro,USA,2950,1982-01-01
15.6,4,140.0,86,27.0,ford mustang gl,USA,2790,1982-01-01
24.6,4,97.0,52,44.0,vw pickup,Europe,2130,1982-01-01
11.6,4,135.0,84,32.0,dodge rampage,USA,2295,1982-01-01
18.6,4,120.0,79,28.0,ford ranger,USA,2625,1982-01-01
19.4,4,119.0,82,31.0,chevrolet s-10,USA,2720,1982-01-01
